,IVT,Class
c1,Affy,P
c2,Affy,P
c3,Affy,P
c4,Affy,P
c5,Affy,P
c6,Affy,P
c7,Affy,P
c8,Affy,P
c9,Affy,P
c10,Affy,P
c11,Affy,P
c12,Affy,P
c13,Affy,P
c14,Affy,P
c15,Affy,P
c16,Affy,P
c17,Affy,P
c18,Affy,P
c19,Affy,P
c20,Affy,P
c21,Affy,P
c22,Affy,P
c23,Affy,P
c24,Affy,P
c25,Affy,P
c26,Affy,P
c27,Affy,P
c28,Affy,P
c29,Affy,P
c30,Affy,P
c31,Affy,N
c32,Affy,N
c33,Affy,N
c34,Affy,N
c35,Affy,N
c36,Affy,N
c37,Affy,N
c38,Affy,N
c39,Affy,N
c40,Affy,N
c41,Affy,N
c42,Affy,N
c43,Affy,N
c44,Affy,N
c45,Affy,N
c46,Affy,N
c47,Affy,N
c48,Affy,N
c49,Affy,N
c50,Affy,N
c51,Affy,N
c52,Affy,N
c53,Affy,N
c54,Affy,N
c55,Affy,N
c56,Affy,N
c57,Affy,N
c58,Affy,N
c59,Affy,N
c60,Affy,N
c61,Affy,P
c62,Affy,P
c63,Affy,P
c64,Affy,P
c65,Affy,P
c66,Affy,P
c67,Affy,P
c68,Affy,P
c69,Affy,P
c70,Affy,P
c71,Affy,P
c72,Affy,P
c73,Affy,P
c74,Affy,N
c75,Affy,N
c76,Affy,N
c77,Affy,N
c78,Affy,N
c79,Affy,N
c80,Affy,N
c81,Affy,N
c82,Affy,N
c83,Affy,N
c84,Affy,N
c85,Affy,N
c86,Affy,N
c87,Affy,N
c88,Affy,N
c89,Affy,N
c90,Affy,N
c91,Affy,N
c92,Affy,N
c93,Affy,N
c94,Affy,N
c95,Affy,N
c96,Affy,N
c97,Affy,N
c98,Affy,N
c99,Affy,N
c100,Affy,N
c101,Affy,N
c102,Affy,N
c103,Affy,N
c104,Affy,N
c105,Affy,N
c106,Affy,N
c107,Affy,N
c108,Affy,N
c109,Affy,N
c110,Affy,N
c111,Affy,N
c112,Affy,N
c113,Affy,N
c114,Affy,N
c115,Affy,N
c116,Affy,N
c117,Affy,N
c118,Affy,N
c119,Affy,N
c120,Affy,N
c121,Affy,N
c122,Affy,N
c123,Affy,N
c124,Affy,N
c125,Affy,N
c126,Affy,N
c127,Affy,N
c128,Affy,N
c129,Affy,N
c130,Affy,N
c131,Affy,N
c132,Affy,N
c133,Affy,N
c134,Affy,N
c135,Affy,N
c136,Affy,N
c137,Affy,N
c138,Affy,N
c139,Affy,N
c140,Affy,N
c141,Affy,N
c142,Affy,N
c143,Affy,N
c144,Affy,N
c145,Affy,N
c146,Affy,N
c147,Affy,N
c148,Affy,N
c149,Affy,N
c150,Affy,N
c151,Affy,N
c152,Affy,N
c153,Affy,N
c154,Affy,N
c155,Affy,N
c156,Affy,N
c157,Affy,N
c158,Affy,N
c159,Affy,N
c160,Affy,N
c161,Affy,N
c162,Affy,N
c163,Affy,N
c164,Affy,N
c165,Affy,N
c166,Affy,N
c167,Affy,N
c168,Affy,N
c169,Affy,N
c170,Affy,N
c171,Affy,N
c172,Affy,N
c173,Affy,N
c174,Affy,N
c175,Affy,N
c176,Affy,N
c177,Affy,N
c178,Affy,N
c179,Affy,N
c180,Affy,N
c181,Affy,N
c182,Affy,N
c183,Affy,N
c184,Affy,N
c185,Affy,N
c186,Affy,N
c187,Affy,N
c188,Affy,N
c189,Affy,N
c190,Affy,N
c191,Affy,N
c192,Affy,N
c193,Affy,N
c194,Affy,N
c195,Affy,N
c196,Affy,N
c197,Affy,N
c198,Affy,N
c199,Affy,N
c200,Affy,N
c201,Affy,N
c202,Affy,N
c203,Affy,N
c204,Affy,N
c205,Affy,N
c206,Affy,N
c207,Affy,N
c208,Affy,N
c209,Affy,N
c210,Affy,N
c211,Affy,N
c212,Affy,N
c213,Affy,N
c214,Affy,N
c215,Affy,N
c216,Affy,N
c217,Affy,N
c218,Affy,N
c219,Affy,N
c220,Affy,N
c221,Affy,N
c222,Affy,N
c223,Affy,N
c224,Affy,N
c225,Affy,N
c226,Affy,N
c227,Affy,N
c228,Affy,N
c229,Affy,N
c230,Affy,N
c231,Affy,N
c232,Affy,N
c233,Affy,N
c234,Affy,N
c235,Affy,N
c236,Affy,N
c237,Affy,N
c238,Affy,N
c239,Affy,N
c240,Affy,N
c241,Affy,N
c242,Affy,N
c243,Affy,N
c244,Affy,N
c245,Affy,N
c246,Affy,N
c247,Affy,N
c248,Affy,N
c249,Affy,N
c250,Affy,N
c251,Affy,N
c252,Affy,N
c253,Affy,N
c254,Affy,N
c255,Affy,N
c256,Affy,N
c257,Affy,N
c258,Affy,N
c259,Affy,N
c260,Affy,N
c261,Affy,N
c262,Affy,N
c263,Affy,N
c264,Affy,N
c265,Affy,N
c266,Affy,N
c267,Affy,N
c268,Affy,N
c269,Affy,N
c270,Affy,N
c271,Affy,N
c272,Affy,N
c273,Affy,N
c274,Affy,N
c275,Affy,N
