,IVT,Class
c1,Affy,P
c2,Affy,P
c3,Affy,P
c4,Affy,P
c5,Affy,P
c6,Affy,P
c7,Affy,P
c8,Affy,P
c9,Affy,P
c10,Affy,P
c11,Affy,P
c12,Affy,P
c13,Affy,P
c14,Affy,P
c15,Affy,P
c16,Affy,P
c17,Affy,P
c18,Affy,P
c19,Affy,P
c20,Affy,P
c21,Affy,P
c22,Affy,P
c23,Affy,P
c24,Affy,P
c25,Affy,P
c26,Affy,P
c27,Affy,P
c28,Affy,P
c29,Affy,P
c30,Affy,P
c31,Affy,P
c32,Affy,P
c33,Affy,P
c34,Affy,P
c35,Affy,P
c36,Affy,P
c37,Affy,P
c38,Affy,P
c39,Affy,P
c40,Affy,P
c41,Affy,P
c42,Affy,P
c43,Affy,P
c44,Affy,P
c45,Affy,P
c46,Affy,P
c47,Affy,P
c48,Affy,P
c49,Affy,P
c50,Affy,P
c51,Affy,P
c52,Affy,P
c53,Affy,P
c54,Affy,P
c55,Affy,P
c56,Affy,P
c57,Affy,P
c58,Affy,P
c59,Affy,P
c60,Affy,P
c61,Affy,P
c62,Affy,P
c63,Affy,P
c64,Affy,P
c65,Affy,N
c66,Affy,N
c67,Affy,N
c68,Affy,N
c69,Affy,N
c70,Affy,N
c71,Affy,N
c72,Affy,N
c73,Affy,N
c74,Affy,N
c75,Affy,N
c76,Affy,N
c77,Affy,N
c78,Affy,N
c79,Affy,N
c80,Affy,N
c81,Affy,N
c82,Affy,N
c83,Affy,N
c84,Affy,N
c85,Affy,N
c86,Affy,N
c87,Affy,N
c88,Affy,N
c89,Affy,N
c90,Affy,N
c91,Affy,N
c92,Affy,N
c93,Affy,N
c94,Affy,N
c95,Affy,N
c96,Affy,N
c97,Affy,N
c98,Affy,N
c99,Affy,N
c100,Affy,N
c101,Affy,N
c102,Affy,N
c103,Affy,N
c104,Affy,N
c105,Affy,N
c106,Affy,N
c107,Affy,N
c108,Affy,N
c109,Affy,N
c110,Affy,N
c111,Affy,N
c112,Affy,N
c113,Affy,N
c114,Affy,N
c115,Affy,N
c116,Affy,N
c117,Affy,N
c118,Affy,N
c119,Affy,N
c120,Affy,N
c121,Affy,N
c122,Affy,N
